Day,Month,Year,Price,RelChange,Time,RiskFree
25.0,4.0,1988.0,74.625,0.0170358,88.3167,71.16829017595323
26.0,4.0,1988.0,76.625,0.0268007,88.3194,71.18166981450632
27.0,4.0,1988.0,76.75,0.00163132,88.3222,71.19505196843146
28.0,4.0,1988.0,75.5,-0.0162867,88.325,71.20843663820153
29.0,4.0,1988.0,75.0,-0.00662252,88.3278,71.22182382428952
2.0,5.0,1988.0,75.75,0.01,88.3361,71.23521352716848
3.0,5.0,1988.0,76.875,0.0148515,88.3389,71.2486057473116
4.0,5.0,1988.0,76.0,-0.0113821,88.3417,71.2620004851921
5.0,5.0,1988.0,75.75,-0.00328947,88.3444,71.27539774128333
6.0,5.0,1988.0,74.375,-0.00165017,88.3472,71.2887975160587
9.0,5.0,1988.0,73.75,-0.00840336,88.3556,71.30219980999172
10.0,5.0,1988.0,73.375,-0.00508475,88.3583,71.315604623556
11.0,5.0,1988.0,72.625,-0.0102215,88.3611,71.32901195722523
12.0,5.0,1988.0,73.0,0.00516351,88.3639,71.3424218114732
13.0,5.0,1988.0,75.25,0.0308219,88.3667,71.35583418677376
16.0,5.0,1988.0,76.75,0.0199336,88.375,71.36924908360088
17.0,5.0,1988.0,76.5,-0.00325733,88.3778,71.3826665024286
18.0,5.0,1988.0,75.0,-0.0196078,88.3806,71.39608644373106
19.0,5.0,1988.0,75.0,0.0,88.3833,71.4095089079825
20.0,5.0,1988.0,74.625,-0.005,88.3861,71.42293389565721
23.0,5.0,1988.0,74.625,0.0,88.3944,71.4363614072296
24.0,5.0,1988.0,74.125,-0.00670017,88.3972,71.44979144317416
25.0,5.0,1988.0,73.375,-0.010118,88.4,71.46322400396548
26.0,5.0,1988.0,72.875,-0.00681431,88.4028,71.47665909007823
27.0,5.0,1988.0,72.75,-0.00171527,88.4056,71.49009670198717
31.0,5.0,1988.0,75.125,0.0326461,88.4167,71.50353684016714
1.0,6.0,1988.0,76.875,0.0232945,88.4167,71.5169795050931
2.0,6.0,1988.0,76.25,-0.00813008,88.4194,71.53042469724006
3.0,6.0,1988.0,76.25,0.0,88.4222,71.54387241708315
6.0,6.0,1988.0,77.0,0.00983607,88.4306,71.55732266509757
7.0,6.0,1988.0,75.5,-0.0194805,88.4333,71.57077544175861
8.0,6.0,1988.0,77.625,0.0281457,88.4361,71.58423074754167
9.0,6.0,1988.0,77.375,-0.00322061,88.4389,71.59768858292222
10.0,6.0,1988.0,78.25,0.0113086,88.4417,71.61114894837581
13.0,6.0,1988.0,79.375,0.014377,88.45,71.62461184437811
14.0,6.0,1988.0,79.625,0.00314961,88.4528,71.63807727140485
15.0,6.0,1988.0,80.125,0.00627944,88.4556,71.65154522993188
16.0,6.0,1988.0,79.0,-0.0140406,88.4583,71.66501572043512
17.0,6.0,1988.0,80.125,0.0142405,88.4611,71.67848874339057
20.0,6.0,1988.0,79.5,-0.00780031,88.4694,71.69196429927433
21.0,6.0,1988.0,79.875,0.00471698,88.4722,71.7054423885626
22.0,6.0,1988.0,80.625,0.00938967,88.475,71.71892301173166
23.0,6.0,1988.0,79.875,-0.00930233,88.4778,71.73240616925787
24.0,6.0,1988.0,79.25,-0.00782473,88.4806,71.7458918616177
27.0,6.0,1988.0,78.5,-0.00946372,88.4889,71.75938008928769
28.0,6.0,1988.0,79.125,0.00796178,88.4917,71.77287085274448
29.0,6.0,1988.0,78.625,-0.00631912,88.4944,71.7863641524648
30.0,6.0,1988.0,80.125,0.0190779,88.4972,71.79985998892546
1.0,7.0,1988.0,79.75,-0.00468019,88.5,71.81335836260338
5.0,7.0,1988.0,79.875,0.0015674,88.5111,71.82685927397556
6.0,7.0,1988.0,79.0,-0.0109546,88.5139,71.84036272351906
